finding_id,category,severity,title,affected_component,description,root_cause,evidence,development_blocker,commercial_blocker,owner,required_action,acceptance_criteria,status,pr,run_id,artifact_id
SEC-P0-001,SECURITY,P0,Production credential reset incident,reset-admin-password.yml,Workflow accessed production secrets and modified admin user,PRs #104 #106 introduced unsafe workflow,Run 28191175591 succeeded with DB mutation,Yes,Yes,snadaiapp-png,Rotate all exposed credentials + close incident,All rotations complete + incident resolved,CONTAINED,PR #110,N/A,N/A
SEC-P0-002,SECURITY,P0,Credential rotation incomplete,Render API + DB + Admin credentials,Potentially exposed credentials need rotation,Workflow had Production env access with unpinned packages,Yes,Yes,snadaiapp-png,Rotate via approved mechanisms (NOT GitHub Actions),All rotations complete with evidence,OWNER ACTION REQUIRED,N/A,N/A,N/A
SEC-P0-003,SECURITY,P0,Scanner not enforced by required CI,security-baseline.yml,Scanner existed but was not integrated into CI,Scanner not added to Security Baseline workflow,Yes,No,Engineering,Integrate scanner into Security Baseline + required checks,Scanner runs in CI and Security Gate Summary depends on it,CLOSED,PR #111,28199294226,N/A
SEC-P0-004,SECURITY,P0,Clean-baseline OWASP result missing,security-scan.yml,No accepted terminal OWASP result for clean engineering baseline,NVD download failures + Sonatype OSS Index 401,Yes,No,Engineering,Stabilize OWASP + achieve terminal success,Workflow conclusion=success HIGH=0 CRITICAL=0 UNKNOWN=0,IN PROGRESS,N/A,28198998247,N/A
OPS-P0-001,MONITORING,P0,Monitoring not proven green on final clean SHA,uptime + metrics + synthetic,Initial runs on clean SHA had failures,Cold start timing on Render free tier,No,No,Engineering,Run all 3 monitoring on one SHA with success,3/3 success on same SHA,CLOSED,N/A,28199000073,N/A
GOV-P0-001,GOVERNANCE,P0,Development Gate cannot close,Issue #101,Incident + rotations + OWASP + monitoring + branches + Sprint incomplete,Multiple blockers,Yes,Yes,snadaiapp-png,Close all development-blocking gates first,All checklist items verified,OPEN,N/A,N/A,N/A
SEC-P1-001,SECURITY,P1,Scanner implementation was regex-fragile,check_workflow_security.py,Multi-line YAML structures could evade detection,Regex-only approach without YAML structural parsing,No,No,Engineering,Convert to structural YAML parser + add fixtures,15 scenarios pass with full unsafe workflow fixture,CLOSED,PR #111,N/A,N/A
SEC-P1-002,SECURITY,P1,Security-sensitive Actions not pinned to SHA,.github/workflows/*.yml,Actions use mutable tags instead of commit SHAs,Convenience over security,No,No,Engineering,Audit all actions + pin to SHA where security-sensitive,Pinning audit complete,DEFERRED TO SPRINT 0,N/A,N/A,N/A
SEC-P1-003,SECURITY,P1,Incident Issue #109 body was stale,Issue #109,Issue body did not reflect current containment status,Not updated after PR #110 merge,No,No,Engineering,Update issue body with current status,Issue body current,CLOSED,PR #112,N/A,N/A
GOV-P1-001,GOVERNANCE,P1,Issue #101 body was stale,Issue #101,Body reflected pre-incident state,Not updated after security regression,No,No,Engineering,Update body with current state,Body current,CLOSED,N/A,N/A,N/A
REP-P1-001,REPOSITORY,P1,Invalid branch deletion classifications,branch-disposition.csv,Branches with ahead_by>0 classified as safe to delete without patch proof,Estimated values not commit-level proof,No,No,Engineering,Reclassify all ahead branches as UNIQUE WORK or SECURITY HOLD,0 unproven safe deletions,CLOSED,PR #113,N/A,N/A
TEST-P1-001,TESTING,P1,Final validation fragmented across different SHAs,All workflows,Evidence from different SHAs not consolidated,Sequential merges without re-validation,No,No,Engineering,Run all gates on FINAL_ENGINEERING_BASELINE_SHA,All checks on one SHA,IN PROGRESS,N/A,N/A,N/A
DOC-P1-001,DOCUMENTATION,P1,Execution reports contain stale evidence,EXEC-PROMPT-010R6/R7/R8 reports,Reports contain superseded SHAs and claims,Incremental updates without correction,No,No,Engineering,Mark R6/R7/R8 as SUPERSEDED + create R9/R10 final,All reports correctly classified,CLOSED,PR #114,N/A,N/A
