finding_id,category,severity,file,workflow,branch,description,root_cause,security_impact,operational_impact,recommended_fix,implemented_fix,validation_evidence,owner,status,residual_risk
"SEC-001","EXPOSED CREDENTIAL","CRITICAL",".github/workflows/ (deleted)","admin-password-direct-reset,verify-admin-login","EXPOSED TEMPORARY CREDENTIAL — ROTATED","Temporary admin password appeared in workflow logs and source code","Admin account accessible with known password","Full admin access to production","Rotate password immediately after first login","Recovery workflows deleted (commit 61559ce)","Workflows removed from tree","OWNER ACTION REQUIRED","OPEN — owner must rotate","Account still accessible with temp password until rotated"
"SEC-002","MISSING PERMISSIONS","HIGH",".github/workflows/ci.yml","CI","main","No permissions block — default is write access","Workflow created before least-privilege policy","Excessive GitHub token permissions","Potential unauthorized repo modification","Add permissions: contents: read","Added in PR #81 (commit 24987e2)","CI runs with read-only permissions","VERIFIED","FIXED","None"
"SEC-003","MISSING PERMISSIONS","HIGH",".github/workflows/render-env-recovery.yml","Render Env Recovery","main","No permissions block","Workflow created before least-privilege policy","Excessive permissions on env-recovery workflow","Potential unauthorized repo modification","Add permissions: contents: read","Added in PR #81 (commit 24987e2)","Workflow runs with read-only permissions","VERIFIED","FIXED","None"
"SEC-004","MISSING PERMISSIONS","HIGH",".github/workflows/smoke-test.yml","Smoke Test","main","No permissions block","Workflow created before least-privilege policy","Excessive permissions","Potential unauthorized modification","Add permissions: contents: read","Added in PR #81 (commit 24987e2)","Workflow runs with read-only permissions","VERIFIED","FIXED","None"
"SEC-005","MISSING PERMISSIONS","HIGH",".github/workflows/uptime-monitor.yml","Uptime Monitor","main","No permissions block","Workflow created before least-privilege policy","Excessive permissions on monitoring workflow","Potential unauthorized modification","Add permissions: contents: read","Added in PR #81 (commit 24987e2)","Workflow runs with read-only permissions","VERIFIED","FIXED","None"
"SEC-006","BUILD ARTIFACTS IN TREE","MEDIUM","apps/sanad-platform/target/, apps/web/.next/","N/A","main","Build artifacts contain test tokens flagged by gitleaks","No .gitignore entries for build output","False positive security alerts; potential token exposure in artifact","Noise in security scanning; potential real findings masked","Add to .gitignore","Added in PR #81 (commit 24987e2)","Gitleaks scan of tracked files: 0 real findings","VERIFIED","FIXED","Artifacts may exist in git history"
"SEC-007","RECOVERY WORKFLOW MUTATIONS","CRITICAL","(deleted)","admin-credential-recovery","main","Direct database password_hash updates from GitHub Actions","Bootstrap deployment failure led to direct DB approach","Admin password set without application-layer validation","Bypass of mustChangePassword flow; direct session_version manipulation","Delete recovery workflows; rotate credentials","Deleted in commit 61559ce","Workflows not in current tree","VERIFIED","FIXED","Historical workflow runs still exist (read-only)"
"SEC-008","BOOTSTRAP CONFIG","HIGH","Render env vars","N/A","N/A","BOOTSTRAP_ENABLED must be false in production","Bootstrap left enabled after failed deployment causes crash","Application fails to start when bootstrap enabled","Backend downtime","Verify and disable bootstrap on Render","Verified: HTTP 200 on env var push, backend health UP","Backend running with UP status","VERIFIED","FIXED","Must verify after any Render env change"
"SEC-009","SECURITY SCAN CANCELLED","MEDIUM",".github/workflows/security-scan.yml","Security Scan","main","OWASP scan cancelled in last 5 runs","Possible timeout or resource issue","No OWASP dependency check evidence","Missing vulnerability data","Investigate and fix scan workflow","NOT YET FIXED","N/A","OWNER ACTION REQUIRED","OPEN","No recent OWASP scan results"
"SEC-010","BRANCH SECURITY HOLD","HIGH","fix/EXEC-PROMPT-009D-secure-admin-recovery","N/A","(deleted)","Branch contained credential recovery workflow code","Created for admin recovery","Contains direct DB mutation patterns","Security risk if re-deployed","Delete branch","Branch deleted from remote","Branch no longer exists","VERIFIED","FIXED","Historical commits still in git history"
